County_State,Number_Insured,NInsured_CI_LowerBound,NInsured_CI_UpperBound,Number_Uninsured,NUninsured_CI_LowerBound,NUninsured_CI_UpperBound,time,State_Code,County_Code
"autauga, al",42769,42277,43261,4431,3939,4923,2015,01,001
"baldwin, al",143956,142301,145611,18751,17096,20406,2015,01,003
"barbour, al",16165,15898,16432,2482,2215,2749,2015,01,005
"bibb, al",15070,14830,15310,2027,1787,2267,2015,01,007
"blount, al",40721,40117,41325,6609,6005,7213,2015,01,009
"bullock, al",6366,6245,6487,1080,959,1201,2015,01,011
"butler, al",14322,14092,14552,1998,1768,2228,2015,01,013
"calhoun, al",83683,82638,84728,10764,9719,11809,2015,01,015
"chambers, al",23842,23439,24245,3662,3259,4065,2015,01,017
"cherokee, al",17804,17535,18073,2355,2086,2624,2015,01,019
"chilton, al",31179,30627,31731,5603,5051,6155,2015,01,021
"choctaw, al",9096,8964,9228,1219,1087,1351,2015,01,023
"clarke, al",17445,17164,17726,2505,2224,2786,2015,01,025
"clay, al",9189,9018,9360,1542,1371,1713,2015,01,027
"cleburne, al",10622,10457,10787,1465,1300,1630,2015,01,029
"coffee, al",37468,36973,37963,5077,4582,5572,2015,01,031
"colbert, al",39215,38709,39721,4651,4145,5157,2015,01,033
"conecuh, al",8483,8323,8643,1457,1297,1617,2015,01,035
"coosa, al",7303,7171,7435,1138,1006,1270,2015,01,037
"covington, al",26336,25957,26715,3681,3302,4060,2015,01,039
"crenshaw, al",9925,9760,10090,1458,1293,1623,2015,01,041
"cullman, al",57203,56336,58070,9426,8559,10293,2015,01,043
"dale, al",36290,35772,36808,4703,4185,5221,2015,01,045
"dallas, al",29839,29365,30313,4119,3645,4593,2015,01,047
"dekalb, al",48845,47998,49692,10467,9620,11314,2015,01,049
"elmore, al",58715,58058,59372,6033,5376,6690,2015,01,051
"escambia, al",23838,23378,24298,4388,3928,4848,2015,01,053
"etowah, al",73308,72348,74268,9969,9009,10929,2015,01,055
"fayette, al",11681,11499,11863,1580,1398,1762,2015,01,057
"franklin, al",22029,21599,22459,4336,3906,4766,2015,01,059
"geneva, al",18038,17698,18378,3356,3016,3696,2015,01,061
"greene, al",6015,5911,6119,830,726,934,2015,01,063
"hale, al",10792,10622,10962,1481,1311,1651,2015,01,065
"henry, al",11640,11444,11836,1820,1624,2016,2015,01,067
"houston, al",76001,75190,76812,10048,9237,10859,2015,01,069
"jackson, al",36310,35754,36866,5827,5271,6383,2015,01,071
"jefferson, al",489193,485317,493069,62034,58158,65910,2015,01,073
"lamar, al",9499,9344,9654,1374,1219,1529,2015,01,075
"lauderdale, al",65515,64679,66351,8256,7420,9092,2015,01,077
"lawrence, al",23517,23153,23881,3702,3338,4066,2015,01,079
"lee, al",120165,118535,121795,15691,14061,17321,2015,01,081
"limestone, al",66804,65929,67679,9188,8313,10063,2015,01,083
"lowndes, al",7492,7372,7612,1023,903,1143,2015,01,085
"macon, al",12559,12363,12755,1527,1331,1723,2015,01,087
"madison, al",265616,263240,267992,30501,28125,32877,2015,01,089
"marengo, al",14330,14121,14539,1740,1531,1949,2015,01,091
"marion, al",20401,20069,20733,3058,2726,3390,2015,01,093
"marshall, al",66046,65066,67026,12095,11115,13075,2015,01,095
"mobile, al",302194,299120,305268,45101,42027,48175,2015,01,097
"monroe, al",15108,14829,15387,2492,2213,2771,2015,01,099
"montgomery, al",163548,161573,165523,22761,20786,24736,2015,01,101
"morgan, al",84950,83745,86155,13488,12283,14693,2015,01,103
"perry, al",6246,6137,6355,910,801,1019,2015,01,105
"pickens, al",13230,13006,13454,1893,1669,2117,2015,01,107
"pike, al",22878,22443,23313,3667,3232,4102,2015,01,109
"randolph, al",15463,15189,15737,2448,2174,2722,2015,01,111
"russell, al",45730,45027,46433,5849,5146,6552,2015,01,113
"st. clair, al",63303,62451,64155,8239,7387,9091,2015,01,115
"shelby, al",163251,161928,164574,14942,13619,16265,2015,01,117
"sumter, al",8938,8778,9098,1273,1113,1433,2015,01,119
"talladega, al",57591,56801,58381,7297,6507,8087,2015,01,121
"tallapoosa, al",28457,28039,28875,3873,3455,4291,2015,01,123
"tuscaloosa, al",153115,151516,154714,16560,14961,18159,2015,01,125
"walker, al",45899,45237,46561,6764,6102,7426,2015,01,127
"washington, al",12112,11928,12296,1675,1491,1859,2015,01,129
"wilcox, al",7823,7698,7948,1093,968,1218,2015,01,131
"winston, al",16472,16208,16736,2381,2117,2645,2015,01,133
"aleutians east borough, ak",1927,1828,2026,1149,1050,1248,2015,02,013
"aleutians west census area, ak",4048,3930,4166,1129,1011,1247,2015,02,016
"anchorage borough, ak",229028,227088,230968,35930,33990,37870,2015,02,020
"bethel census area, ak",12362,12065,12659,4031,3734,4328,2015,02,050
"bristol bay borough, ak",606,588,624,168,150,186,2015,02,060
"denali borough, ak",1381,1347,1415,327,293,361,2015,02,068
"dillingham census area, ak",3503,3406,3600,1065,968,1162,2015,02,070
"fairbanks north star borough, ak",74815,73797,75833,12273,11255,13291,2015,02,090
"haines borough, ak",1626,1580,1672,462,416,508,2015,02,100
"hoonah-angoon census area, ak",1335,1293,1377,431,389,473,2015,02,105
"juneau borough, ak",24300,23931,24669,4054,3685,4423,2015,02,110
"kenai peninsula borough, ak",39062,38363,39761,9112,8413,9811,2015,02,122
"ketchikan gateway borough, ak",9516,9316,9716,2201,2001,2401,2015,02,130
"kodiak island borough, ak",9787,9541,10033,2594,2348,2840,2015,02,150
"kusilvak census area, ak",5915,5768,6062,1753,1606,1900,2015,02,158
"lake and peninsula borough, ak",961,921,1001,451,411,491,2015,02,164
"matanuska-susitna borough, ak",73938,72928,74948,14873,13863,15883,2015,02,170
"nome census area, ak",6761,6589,6933,2138,1966,2310,2015,02,180
"north slope borough, ak",7480,7317,7643,1657,1494,1820,2015,02,185
"northwest arctic borough, ak",5281,5127,5435,1808,1654,1962,2015,02,188
"petersburg borough, ak",2247,2197,2297,492,442,542,2015,02,195
"prince of wales-hyder census area, ak",4158,4034,4282,1398,1274,1522,2015,02,198
"sitka borough, ak",6030,5887,6173,1506,1363,1649,2015,02,220
"skagway municipality, ak",787,768,806,159,140,178,2015,02,230
"southeast fairbanks census area, ak",4650,4524,4776,1291,1165,1417,2015,02,240
"valdez-cordova census area, ak",6756,6602,6910,1546,1392,1700,2015,02,261
"wrangell city and borough, ak",1576,1538,1614,367,329,405,2015,02,275
"yakutat borough, ak",343,327,359,176,160,192,2015,02,282
"yukon-koyukuk census area, ak",3252,3140,3364,1441,1329,1553,2015,02,290
"apache, az",49823,48850,50796,10583,9610,11556,2015,04,001
"cochise, az",85100,84066,86134,10179,9145,11213,2015,04,003
"coconino, az",96555,95093,98017,16458,14996,17920,2015,04,005
"gila, az",32764,32238,33290,5137,4611,5663,2015,04,007
"graham, az",26191,25776,26606,3423,3008,3838,2015,04,009
"greenlee, az",7734,7644,7824,608,518,698,2015,04,011
"la paz, az",9739,9474,10004,2598,2333,2863,2015,04,012
"maricopa, az",3076290,3065150,3087430,437561,426421,448701,2015,04,013
"mohave, az",123318,121554,125082,20035,18271,21799,2015,04,015
"navajo, az",74353,73179,75527,13709,12535,14883,2015,04,017
"pima, az",704155,698405,709905,98124,92374,103874,2015,04,019
"pinal, az",265138,261989,268287,38345,35196,41494,2015,04,021
"santa cruz, az",32573,31953,33193,5758,5138,6378,2015,04,023
"yavapai, az",134847,132957,136737,20512,18622,22402,2015,04,025
"yuma, az",130587,128252,132922,27580,25245,29915,2015,04,027
"arkansas, ar",13398,13219,13577,1568,1389,1747,2015,05,001
"ashley, ar",15030,14826,15234,1684,1480,1888,2015,05,003
"baxter, ar",25599,25268,25930,2841,2510,3172,2015,05,005
"benton, ar",191446,189559,193333,24522,22635,26409,2015,05,007
"boone, ar",26404,26044,26764,3064,2704,3424,2015,05,009
"bradley, ar",7572,7418,7726,1322,1168,1476,2015,05,011
"calhoun, ar",3606,3555,3657,394,343,445,2015,05,013
"carroll, ar",17900,17525,18275,3579,3204,3954,2015,05,015
"chicot, ar",7230,7120,7340,970,860,1080,2015,05,017
"clark, ar",14663,14447,14879,1701,1485,1917,2015,05,019
"clay, ar",10314,10148,10480,1407,1241,1573,2015,05,021
"cleburne, ar",16795,16573,17017,1962,1740,2184,2015,05,023
"cleveland, ar",6031,5955,6107,617,541,693,2015,05,025
"columbia, ar",16498,16254,16742,2046,1802,2290,2015,05,027
"conway, ar",15090,14870,15310,1873,1653,2093,2015,05,029
"craighead, ar",78102,77141,79063,9245,8284,10206,2015,05,031
"crawford, ar",45385,44717,46053,6272,5604,6940,2015,05,033
"crittenden, ar",38519,38115,38923,3574,3170,3978,2015,05,035
"cross, ar",12579,12396,12762,1510,1327,1693,2015,05,037
"dallas, ar",5154,5086,5222,529,461,597,2015,05,039
"desha, ar",8666,8538,8794,1053,925,1181,2015,05,041
"drew, ar",13320,13119,13521,1528,1327,1729,2015,05,043
"faulkner, ar",94291,93284,95298,9253,8246,10260,2015,05,045
"franklin, ar",12747,12553,12941,1640,1446,1834,2015,05,047
"fulton, ar",8039,7921,8157,947,829,1065,2015,05,049
"garland, ar",64984,64010,65958,9611,8637,10585,2015,05,051
"grant, ar",13723,13569,13877,1313,1159,1467,2015,05,053
"greene, ar",33884,33485,34283,3314,2915,3713,2015,05,055
"hempstead, ar",15763,15499,16027,2381,2117,2645,2015,05,057
"hot spring, ar",23120,22845,23395,2289,2014,2564,2015,05,059
"howard, ar",9314,9134,9494,1562,1382,1742,2015,05,061
"independence, ar",26736,26367,27105,3210,2841,3579,2015,05,063
"izard, ar",7954,7816,8092,1239,1101,1377,2015,05,065
"jackson, ar",10896,10734,11058,1346,1184,1508,2015,05,067
"jefferson, ar",50641,50054,51228,4920,4333,5507,2015,05,069
"johnson, ar",18151,17802,18500,3213,2864,3562,2015,05,071
"lafayette, ar",4693,4612,4774,673,592,754,2015,05,073
"lawrence, ar",11748,11602,11894,1249,1103,1395,2015,05,075
"lee, ar",5591,5510,5672,659,578,740,2015,05,077
"lincoln, ar",7265,7155,7375,934,824,1044,2015,05,079
"little river, ar",8895,8768,9022,1013,886,1140,2015,05,081
"logan, ar",15244,15017,15471,1947,1720,2174,2015,05,083
"lonoke, ar",57093,56518,57668,5137,4562,5712,2015,05,085
"madison, ar",10923,10704,11142,1897,1678,2116,2015,05,087
"marion, ar",10408,10253,10563,1262,1107,1417,2015,05,089
"miller, ar",32146,31704,32588,3755,3313,4197,2015,05,091
"mississippi, ar",33437,33016,33858,3499,3078,3920,2015,05,093
"monroe, ar",5037,4953,5121,727,643,811,2015,05,095
"montgomery, ar",5713,5612,5814,886,785,987,2015,05,097
"nevada, ar",6052,5963,6141,684,595,773,2015,05,099
"newton, ar",5235,5151,5319,671,587,755,2015,05,101
"ouachita, ar",17883,17680,18086,1639,1436,1842,2015,05,103
"perry, ar",7476,7378,7574,822,724,920,2015,05,105
"phillips, ar",14371,14187,14555,1529,1345,1713,2015,05,107
"pike, ar",7182,7028,7336,1423,1269,1577,2015,05,109
"poinsett, ar",17368,17104,17632,2192,1928,2456,2015,05,111
"polk, ar",13519,13291,13747,2120,1892,2348,2015,05,113
"pope, ar",44369,43706,45032,6162,5499,6825,2015,05,115
"prairie, ar",5502,5403,5601,844,745,943,2015,05,117
"pulaski, ar",297708,295053,300363,33094,30439,35749,2015,05,119
"randolph, ar",12269,12095,12443,1450,1276,1624,2015,05,121
"st. francis, ar",16923,16712,17134,1773,1562,1984,2015,05,123
"saline, ar",88525,87699,89351,7920,7094,8746,2015,05,125
"scott, ar",7132,6985,7279,1288,1141,1435,2015,05,127
"searcy, ar",5132,5035,5229,769,672,866,2015,05,129
"sebastian, ar",93121,91809,94433,13915,12603,15227,2015,05,131
"sevier, ar",11561,11274,11848,3128,2841,3415,2015,05,133
"sharp, ar",10819,10638,11000,1627,1446,1808,2015,05,135
"stone, ar",7832,7683,7981,1261,1112,1410,2015,05,137
"union, ar",29311,28914,29708,3617,3220,4014,2015,05,139
"van buren, ar",10864,10679,11049,1602,1417,1787,2015,05,141
"washington, ar",167076,164918,169234,25891,23733,28049,2015,05,143
"white, ar",56754,56036,57472,6967,6249,7685,2015,05,145
"woodruff, ar",4543,4462,4624,680,599,761,2015,05,147
"yell, ar",14907,14613,15201,2850,2556,3144,2015,05,149
"alameda, ca",1318618,1313280,1323956,84805,79467,90143,2015,06,001
"alpine, ca",785,774,796,83,72,94,2015,06,003
"amador, ca",22792,22586,22998,1688,1482,1894,2015,06,005
"butte, ca",167804,166310,169298,14769,13275,16263,2015,06,007
"calaveras, ca",30575,30297,30853,2352,2074,2630,2015,06,009
"colusa, ca",16085,15826,16344,2250,1991,2509,2015,06,011
"contra costa, ca",892142,887720,896564,62229,57807,66651,2015,06,013
"del norte, ca",18251,18055,18447,1610,1414,1806,2015,06,015
"el dorado, ca",139936,138945,140927,9276,8285,10267,2015,06,017
"fresno, ca",752561,746942,758180,91282,85663,96901,2015,06,019
"glenn, ca",20715,20403,21027,2721,2409,3033,2015,06,021
"humboldt, ca",101052,99992,102112,9915,8855,10975,2015,06,023
"imperial, ca",132549,131007,134091,15794,14252,17336,2015,06,025
"inyo, ca",12752,12614,12890,1241,1103,1379,2015,06,027
"kern, ca",685909,680870,690948,73282,68243,78321,2015,06,029
"kings, ca",109485,108374,110596,10670,9559,11781,2015,06,031
"lake, ca",44969,44389,45549,5162,4582,5742,2015,06,033
"lassen, ca",18135,17999,18271,1089,953,1225,2015,06,035
"los angeles, ca",7654509,7631734,7677284,1092708,1069933,1115483,2015,06,037
"madera, ca",110176,108626,111726,16485,14935,18035,2015,06,039
"marin, ca",189960,188707,191213,12651,11398,13904,2015,06,041
"mariposa, ca",11946,11819,12073,1018,891,1145,2015,06,043
"mendocino, ca",61026,60205,61847,8330,7509,9151,2015,06,045
"merced, ca",209382,207250,211514,23618,21486,25750,2015,06,047
"modoc, ca",5935,5851,6019,712,628,796,2015,06,049
"mono, ca",10454,10269,10639,1427,1242,1612,2015,06,051
"monterey, ca",320124,316875,323373,43444,40195,46693,2015,06,053
"napa, ca",104771,103804,105738,9719,8752,10686,2015,06,055
"nevada, ca",68237,67546,68928,6012,5321,6703,2015,06,057
"orange, ca",2434408,2423318,2445498,271391,260301,282481,2015,06,059
"placer, ca",288041,286435,289647,16403,14797,18009,2015,06,061
"plumas, ca",12301,12158,12444,1179,1036,1322,2015,06,063
"riverside, ca",1791157,1781334,1800980,218225,208402,228048,2015,06,065
"sacramento, ca",1193177,1187334,1199020,92561,86718,98404,2015,06,067
"san benito, ca",46182,45620,46744,5277,4715,5839,2015,06,069
"san bernardino, ca",1680857,1671626,1690088,179718,170487,188949,2015,06,071
"san diego, ca",2513227,2501764,2524690,263461,251998,274924,2015,06,073
"san francisco, ca",680602,676896,684308,45556,41850,49262,2015,06,075
"san joaquin, ca",572378,568543,576213,53841,50006,57676,2015,06,077
"san luis obispo, ca",198894,197103,200685,17356,15565,19147,2015,06,079
"san mateo, ca",609522,606623,612421,36880,33981,39779,2015,06,081
"santa barbara, ca",319534,316273,322795,44488,41227,47749,2015,06,083
"santa clara, ca",1556783,1550920,1562646,98375,92512,104238,2015,06,085
"santa cruz, ca",207143,205508,208778,17542,15907,19177,2015,06,087
"shasta, ca",130263,129047,131479,12195,10979,13411,2015,06,089
"sierra, ca",1932,1905,1959,205,178,232,2015,06,091
"siskiyou, ca",29844,29519,30169,3060,2735,3385,2015,06,093
"solano, ca",342835,340835,344835,21726,19726,23726,2015,06,095
"sonoma, ca",372618,369849,375387,35290,32521,38059,2015,06,097
"stanislaus, ca",426730,423643,429817,39586,36499,42673,2015,06,099
"sutter, ca",72459,71560,73358,8964,8065,9863,2015,06,101
"tehama, ca",46502,45971,47033,4734,4203,5265,2015,06,103
"trinity, ca",8861,8753,8969,845,737,953,2015,06,105
"tulare, ca",358698,355396,362000,45247,41945,48549,2015,06,107
"tuolumne, ca",35027,34687,35367,2736,2396,3076,2015,06,109
"ventura, ca",649972,645392,654552,71633,67053,76213,2015,06,111
"yolo, ca",167209,165829,168589,13510,12130,14890,2015,06,113
"yuba, ca",58455,57738,59172,6047,5330,6764,2015,06,115
"adams, co",382644,378979,386309,55165,51500,58830,2015,08,001
"alamosa, co",11356,11151,11561,1679,1474,1884,2015,08,003
"arapahoe, co",498642,495072,502212,51582,48012,55152,2015,08,005
"archuleta, co",8062,7921,8203,1229,1088,1370,2015,08,007
"baca, co",2295,2252,2338,355,312,398,2015,08,009
"bent, co",2768,2729,2807,324,285,363,2015,08,011
"boulder, co",250644,248861,252427,19657,17874,21440,2015,08,013
"broomfield, co",54333,53989,54677,2739,2395,3083,2015,08,014
"chaffee, co",11612,11458,11766,1306,1152,1460,2015,08,015
"cheyenne, co",1230,1204,1256,230,204,256,2015,08,017
"clear creek, co",7011,6950,7072,475,414,536,2015,08,019
"conejos, co",5798,5712,5884,748,662,834,2015,08,021
"costilla, co",2163,2117,2209,405,359,451,2015,08,023
"crowley, co",2117,2089,2145,223,195,251,2015,08,025
"custer, co",2536,2488,2584,396,348,444,2015,08,027
"delta, co",19595,19310,19880,2509,2224,2794,2015,08,029
"denver, co",521888,517441,526335,72028,67581,76475,2015,08,031
"dolores, co",1324,1302,1346,189,167,211,2015,08,033
"douglas, co",280065,279053,281077,10253,9241,11265,2015,08,035
"eagle, co",41929,41181,42677,6799,6051,7547,2015,08,037
"elbert, co",19473,19294,19652,1606,1427,1785,2015,08,039
"el paso, co",530721,527255,534187,46640,43174,50106,2015,08,041
"fremont, co",26268,25945,26591,2774,2451,3097,2015,08,043
"garfield, co",42684,41925,43443,8124,7365,8883,2015,08,045
"gilpin, co",4740,4707,4773,217,184,250,2015,08,047
"grand, co",11261,11117,11405,1147,1003,1291,2015,08,049
"gunnison, co",11823,11619,12027,1565,1361,1769,2015,08,051
"hinsdale, co",502,494,510,67,59,75,2015,08,053
"huerfano, co",3957,3902,4012,447,392,502,2015,08,055
"jackson, co",876,855,897,175,154,196,2015,08,057
"jefferson, co",442244,439658,444830,33312,30726,35898,2015,08,059
"kiowa, co",940,924,956,131,115,147,2015,08,061
"kit carson, co",5000,4906,5094,837,743,931,2015,08,063
"lake, co",5709,5610,5808,760,661,859,2015,08,065
"la plata, co",40290,39795,40785,4588,4093,5083,2015,08,067
"larimer, co",260013,258186,261840,19543,17716,21370,2015,08,069
"las animas, co",8962,8840,9084,1098,976,1220,2015,08,071
"lincoln, co",3283,3241,3325,324,282,366,2015,08,073
"logan, co",13552,13360,13744,1684,1492,1876,2015,08,075
"mesa, co",106509,105251,107767,12847,11589,14105,2015,08,077
"mineral, co",474,467,481,59,52,66,2015,08,079
"moffat, co",9939,9800,10078,1168,1029,1307,2015,08,081
"montezuma, co",17715,17392,18038,3074,2751,3397,2015,08,083
"montrose, co",27443,27011,27875,4160,3728,4592,2015,08,085
"morgan, co",20398,20086,20710,2940,2628,3252,2015,08,087
"otero, co",12487,12285,12689,1764,1562,1966,2015,08,089
"ouray, co",3131,3085,3177,365,319,411,2015,08,091
"park, co",12363,12217,12509,1199,1053,1345,2015,08,093
"phillips, co",2875,2820,2930,490,435,545,2015,08,095
"pitkin, co",13227,13018,13436,1665,1456,1874,2015,08,097
"prowers, co",8280,8133,8427,1325,1178,1472,2015,08,099
"pueblo, co",118844,117685,120003,11907,10748,13066,2015,08,101
"rio blanco, co",4841,4776,4906,533,468,598,2015,08,103
"rio grande, co",7951,7818,8084,1178,1045,1311,2015,08,105
"routt, co",19109,18903,19315,1684,1478,1890,2015,08,107
"saguache, co",3951,3853,4049,960,862,1058,2015,08,109
"san juan, co",483,474,492,67,58,76,2015,08,111
"san miguel, co",6176,6080,6272,752,656,848,2015,08,113
"sedgwick, co",1588,1562,1614,200,174,226,2015,08,115
"summit, co",23593,23172,24014,3177,2756,3598,2015,08,117
"teller, co",17353,17176,17530,1469,1292,1646,2015,08,119
"washington, co",3261,3214,3308,386,339,433,2015,08,121
"weld, co",226721,224961,228481,20906,19146,22666,2015,08,123
"yuma, co",7130,7018,7242,997,885,1109,2015,08,125
"fairfield, ct",723332,719220,727444,73657,69545,77769,2015,09,001
"hartford, ct",692758,689706,695810,42454,39402,45506,2015,09,003
"litchfield, ct",139836,138964,140708,8373,7501,9245,2015,09,005
"middlesex, ct",125082,124414,125750,5886,5218,6554,2015,09,007
"new haven, ct",651264,647860,654668,49152,45748,52556,2015,09,009
"new london, ct",205190,203945,206435,11860,10615,13105,2015,09,011
"tolland, ct",110297,109726,110868,4776,4205,5347,2015,09,013
"windham, ct",89605,88930,90280,5684,5009,6359,2015,09,015
"kent, de",132208,131165,133251,9821,8778,10864,2015,10,001
"new castle, de",433104,431338,434870,28078,26312,29844,2015,10,003
"sussex, de",145437,144098,146776,15052,13713,16391,2015,10,005
"alachua, fl",188004,185615,190393,27103,24714,29492,2015,12,001
"baker, fl",19013,18735,19291,2533,2255,2811,2015,12,003
"bay, fl",128495,126739,130251,20566,18810,22322,2015,12,005
"bradford, fl",16435,16163,16707,2523,2251,2795,2015,12,007
"brevard, fl",374519,370436,378602,58601,54518,62684,2015,12,009
"broward, fl",1323168,1312565,1333771,261839,251236,272442,2015,12,011
"calhoun, fl",8508,8333,8683,1653,1478,1828,2015,12,013
"charlotte, fl",87094,85589,88599,17535,16030,19040,2015,12,015
"citrus, fl",76311,75141,77481,13320,12150,14490,2015,12,017
"clay, fl",152783,150917,154649,20675,18809,22541,2015,12,019
"collier, fl",189612,186266,192958,57233,53887,60579,2015,12,021
"columbia, fl",45255,44580,45930,6479,5804,7154,2015,12,023
"desoto, fl",18668,18139,19197,6464,5935,6993,2015,12,027
"dixie, fl",9427,9262,9592,1571,1406,1736,2015,12,029
"duval, fl",672633,666582,678684,102384,96333,108435,2015,12,031
"escambia, fl",212032,209534,214530,30908,28410,33406,2015,12,033
"flagler, fl",62451,61405,63497,11735,10689,12781,2015,12,035
"franklin, fl",6166,6041,6291,1275,1150,1400,2015,12,037
"gadsden, fl",29900,29334,30466,5900,5334,6466,2015,12,039
"gilchrist, fl",10581,10354,10808,2425,2198,2652,2015,12,041
"glades, fl",6223,6030,6416,2207,2014,2400,2015,12,043
"gulf, fl",8251,8101,8401,1379,1229,1529,2015,12,045
"hamilton, fl",7965,7817,8113,1378,1230,1526,2015,12,047
"hardee, fl",16770,16359,17181,4681,4270,5092,2015,12,049
"hendry, fl",24727,24059,25395,8688,8020,9356,2015,12,051
"hernando, fl",107680,106030,109330,19907,18257,21557,2015,12,053
"highlands, fl",52797,51785,53809,11807,10795,12819,2015,12,055
"hillsborough, fl",979127,971156,987098,169320,161349,177291,2015,12,057
"holmes, fl",11575,11354,11796,2318,2097,2539,2015,12,059
"indian river, fl",81593,80024,83162,19588,18019,21157,2015,12,061
"jackson, fl",27666,27234,28098,4377,3945,4809,2015,12,063
"jefferson, fl",8546,8396,8696,1399,1249,1549,2015,12,065
"lafayette, fl",4460,4338,4582,1256,1134,1378,2015,12,067
"lake, fl",203591,201018,206164,34254,31681,36827,2015,12,069
"lee, fl",404620,399207,410033,100793,95380,106206,2015,12,071
"leon, fl",211875,209454,214296,27385,24964,29806,2015,12,073
"levy, fl",24939,24452,25426,5258,4771,5745,2015,12,075
"liberty, fl",4523,4438,4608,768,683,853,2015,12,077
"madison, fl",11051,10828,11274,2065,1842,2288,2015,12,079
"manatee, fl",218258,215050,221466,48161,44953,51369,2015,12,081
"marion, fl",198035,195103,200967,39320,36388,42252,2015,12,083
"martin, fl",89190,87726,90654,17862,16398,19326,2015,12,085
"miami-dade, fl",1755659,1740953,1770365,473278,458572,487984,2015,12,086
"monroe, fl",48066,47047,49085,12000,10981,13019,2015,12,087
"nassau, fl",54482,53741,55223,7472,6731,8213,2015,12,089
"okaloosa, fl",143362,141517,145207,20675,18830,22520,2015,12,091
"okeechobee, fl",22581,21996,23166,7081,6496,7666,2015,12,093
"orange, fl",942953,934094,951812,175327,166468,184186,2015,12,095
"osceola, fl",229053,225269,232837,48838,45054,52622,2015,12,097
"palm beach, fl",893325,885220,901430,185701,177596,193806,2015,12,099
"pasco, fl",327487,324005,330969,53530,50048,57012,2015,12,101
"pinellas, fl",616126,610580,621672,102762,97216,108308,2015,12,103
"polk, fl",430947,426198,435696,78735,73986,83484,2015,12,105
"putnam, fl",45668,44814,46522,9514,8660,10368,2015,12,107
"st. johns, fl",164387,162773,166001,18427,16813,20041,2015,12,109
"st. lucie, fl",185634,182559,188709,41404,38329,44479,2015,12,111
"santa rosa, fl",120247,118764,121730,15901,14418,17384,2015,12,113
"sarasota, fl",220829,217841,223817,41835,38847,44823,2015,12,115
"seminole, fl",336172,332788,339556,45214,41830,48598,2015,12,117
"sumter, fl",40234,39668,40800,5463,4897,6029,2015,12,119
"suwannee, fl",26191,25657,26725,5571,5037,6105,2015,12,121
"taylor, fl",12899,12661,13137,2225,1987,2463,2015,12,123
"union, fl",7804,7694,7914,950,840,1060,2015,12,125
"volusia, fl",325412,321450,329374,59477,55515,63439,2015,12,127
"wakulla, fl",21172,20876,21468,2655,2359,2951,2015,12,129
"walton, fl",40891,40106,41676,8639,7854,9424,2015,12,131
"washington, fl",15036,14774,15298,2625,2363,2887,2015,12,133
"appling, ga",12202,11944,12460,2893,2635,3151,2015,13,001
"atkinson, ga",5402,5241,5563,1857,1696,2018,2015,13,003
"bacon, ga",7475,7305,7645,1889,1719,2059,2015,13,005
"baker, ga",2218,2173,2263,369,324,414,2015,13,007
"baldwin, ga",28912,28374,29450,4915,4377,5453,2015,13,009
"banks, ga",12602,12338,12866,2868,2604,3132,2015,13,011
"barrow, ga",55255,54304,56206,11393,10442,12344,2015,13,013
"bartow, ga",74249,73057,75441,14345,13153,15537,2015,13,015
"ben hill, ga",11978,11720,12236,2412,2154,2670,2015,13,017
"berrien, ga",12672,12388,12956,2994,2710,3278,2015,13,019
"bibb, ga",106374,104800,107948,19389,17815,20963,2015,13,021
"bleckley, ga",8189,8039,8339,1374,1224,1524,2015,13,023
"brantley, ga",12736,12461,13011,2908,2633,3183,2015,13,025
"brooks, ga",10070,9843,10297,2418,2191,2645,2015,13,027
"bryan, ga",27448,27031,27865,4048,3631,4465,2015,13,029
"bulloch, ga",48976,47861,50091,10658,9543,11773,2015,13,031
"burke, ga",16144,15841,16447,3047,2744,3350,2015,13,033
"butts, ga",14724,14447,15001,2897,2620,3174,2015,13,035
"calhoun, ga",3139,3059,3219,839,759,919,2015,13,037
"camden, ga",38655,38047,39263,5535,4927,6143,2015,13,039
"candler, ga",6948,6776,7120,1871,1699,2043,2015,13,043
"carroll, ga",80330,78992,81668,15870,14532,17208,2015,13,045
"catoosa, ga",47716,47016,48416,7371,6671,8071,2015,13,047
"charlton, ga",7151,7020,7282,1214,1083,1345,2015,13,049
"chatham, ga",198409,195777,201041,35990,33358,38622,2015,13,051
"chattahoochee, ga",6758,6626,6890,836,704,968,2015,13,053
"chattooga, ga",16064,15737,16391,3511,3184,3838,2015,13,055
"cherokee, ga",177378,175242,179514,28283,26147,30419,2015,13,057
"clarke, ga",81515,79826,83204,18404,16715,20093,2015,13,059
"clay, ga",1898,1852,1944,395,349,441,2015,13,061
"clayton, ga",198224,195132,201316,46247,43155,49339,2015,13,063
"clinch, ga",4726,4617,4835,1037,928,1146,2015,13,065
"cobb, ga",556885,551755,562015,95190,90060,100320,2015,13,067
"coffee, ga",27492,26890,28094,6999,6397,7601,2015,13,069
"colquitt, ga",29145,28451,29839,9275,8581,9969,2015,13,071
"columbia, ga",112033,110714,113352,14586,13267,15905,2015,13,073
"cook, ga",11723,11476,11970,2707,2460,2954,2015,13,075
"coweta, ga",105211,103908,106514,15141,13838,16444,2015,13,077
"crawford, ga",8468,8294,8642,1683,1509,1857,2015,13,079
"crisp, ga",15827,15525,16129,2801,2499,3103,2015,13,081
"dade, ga",10709,10518,10900,1817,1626,2008,2015,13,083
